,District,Conf,Act,Rec,Des
192,Navsari,0,0,0,0
193,Panchmahal,0,0,0,0
194,Patan,0,0,0,0
195,Porbandar,0,0,0,0
196,Rajkot,0,0,0,0
197,Sabarkantha,0,0,0,0
198,Surat,0,0,0,0
199,Surendranagar,0,0,0,0
200,Tapi,0,0,0,0
201,Vadodara,0,0,0,0
202,Valsad,0,0,0,0
203,Bilaspur,0,0,0,0
204,Chamba,0,0,0,0
205,Hamirpur,0,0,0,0
206,Kangra,0,0,0,0
207,Kinnaur,0,0,0,0
208,Kullu,0,0,0,0
209,Lahaul and Spiti,0,0,0,0
210,Mandi,0,0,0,0
211,Shimla,0,0,0,0
212,Sirmaur,0,0,0,0
213,Solan,0,0,0,0
214,Una,0,0,0,0
215,Foreign Evacuees,0,0,0,0
216,Ambala,0,0,0,0
217,Bhiwani,0,0,0,0
218,Charkhi Dadri,0,0,0,0
219,Faridabad,0,0,0,0
220,Fatehabad,0,0,0,0
221,Gurugram,0,0,0,0
222,Hisar,0,0,0,0
223,Italians,0,0,0,0
224,Jhajjar,0,0,0,0
225,Jind,0,0,0,0
226,Kaithal,0,0,0,0
227,Karnal,0,0,0,0
228,Kurukshetra,0,0,0,0
229,Mahendragarh,0,0,0,0
230,Nuh,0,0,0,0
231,Palwal,0,0,0,0
232,Panchkula,0,0,0,0
233,Panipat,0,0,0,0
234,Rewari,0,0,0,0
235,Rohtak,0,0,0,0
236,Sirsa,0,0,0,0
237,Sonipat,0,0,0,0
238,Yamunanagar,0,0,0,0
239,Bokaro,0,0,0,0
240,Chatra,0,0,0,0
241,Deoghar,0,0,0,0
242,Dhanbad,0,0,0,0
243,Dumka,0,0,0,0
244,East Singhbhum,0,0,0,0
245,Garhwa,0,0,0,0
246,Giridih,0,0,0,0
247,Godda,0,0,0,0
248,Gumla,0,0,0,0
249,Hazaribagh,0,0,0,0
250,Jamtara,0,0,0,0
251,Khunti,0,0,0,0
252,Koderma,0,0,0,0
253,Latehar,0,0,0,0
254,Lohardaga,0,0,0,0
